asset_pair,wsname,asset,currency,time,tmsp,open_price,close_price,volume
ADAEUR,ADA/EUR,ADA,EUR,2019-07-18 02:00:00,1563408000,0.049203,0.052116,8588314.28089397
ADAEUR,ADA/EUR,ADA,EUR,2019-07-19 02:00:00,1563494400,0.052113,0.053116,4773750.49520704
ADAEUR,ADA/EUR,ADA,EUR,2019-07-20 02:00:00,1563580800,0.05369,0.056149,6617523.13071709
ADAEUR,ADA/EUR,ADA,EUR,2019-07-21 02:00:00,1563667200,0.055842,0.054542,5605057.90495382
ADAEUR,ADA/EUR,ADA,EUR,2019-07-22 02:00:00,1563753600,0.0547,0.05312,7509868.26313769
ADAEUR,ADA/EUR,ADA,EUR,2019-07-23 02:00:00,1563840000,0.052928,0.050008,4877631.36085348
ADAEUR,ADA/EUR,ADA,EUR,2019-07-24 02:00:00,1563926400,0.049751,0.052763,8366178.4803394
ADAEUR,ADA/EUR,ADA,EUR,2019-07-25 02:00:00,1564012800,0.052785,0.052581,5483676.72121268
ADAEUR,ADA/EUR,ADA,EUR,2019-07-26 02:00:00,1564099200,0.052488,0.056118,7797863.31955874
ADAEUR,ADA/EUR,ADA,EUR,2019-07-27 02:00:00,1564185600,0.056428,0.053883,9877192.48170622
ADAEUR,ADA/EUR,ADA,EUR,2019-07-28 02:00:00,1564272000,0.053792,0.053602,3822920.69135728
ADAEUR,ADA/EUR,ADA,EUR,2019-07-29 02:00:00,1564358400,0.053412,0.054011,5972166.40184412
ADAEUR,ADA/EUR,ADA,EUR,2019-07-30 02:00:00,1564444800,0.054,0.05371,5463161.49095293
ADAEUR,ADA/EUR,ADA,EUR,2019-07-31 02:00:00,1564531200,0.053837,0.05421,12024831.0929425
ADAEUR,ADA/EUR,ADA,EUR,2019-08-01 02:00:00,1564617600,0.054326,0.052948,3957734.24464711
ADAEUR,ADA/EUR,ADA,EUR,2019-08-02 02:00:00,1564704000,0.052905,0.051746,6063973.10552981
ADAEUR,ADA/EUR,ADA,EUR,2019-08-03 02:00:00,1564790400,0.051562,0.051864,1466781.7670996
ADAEUR,ADA/EUR,ADA,EUR,2019-08-04 02:00:00,1564876800,0.051864,0.050768,2076846.2094203
ADAEUR,ADA/EUR,ADA,EUR,2019-08-05 02:00:00,1564963200,0.050735,0.050111,10743170.44353804
ADAEUR,ADA/EUR,ADA,EUR,2019-08-06 02:00:00,1565049600,0.05011,0.0477,7394333.25181239
ADAEUR,ADA/EUR,ADA,EUR,2019-08-07 02:00:00,1565136000,0.047641,0.046315,5103962.44898539
ADAEUR,ADA/EUR,ADA,EUR,2019-08-08 02:00:00,1565222400,0.046457,0.04653,4727633.49056322
ADAEUR,ADA/EUR,ADA,EUR,2019-08-09 02:00:00,1565308800,0.046522,0.042526,7297950.62762586
ADAEUR,ADA/EUR,ADA,EUR,2019-08-10 02:00:00,1565395200,0.042634,0.046402,8515124.76923278
ADAEUR,ADA/EUR,ADA,EUR,2019-08-11 02:00:00,1565481600,0.046329,0.048871,4972529.44770798
ADAEUR,ADA/EUR,ADA,EUR,2019-08-12 02:00:00,1565568000,0.04887,0.047471,2230538.88555262
ADAEUR,ADA/EUR,ADA,EUR,2019-08-13 02:00:00,1565654400,0.04722,0.047075,3405001.01094117
ADAEUR,ADA/EUR,ADA,EUR,2019-08-14 02:00:00,1565740800,0.046996,0.0421,8524149.84619595
ADAEUR,ADA/EUR,ADA,EUR,2019-08-15 02:00:00,1565827200,0.042358,0.042768,10406288.20734906
ADAEUR,ADA/EUR,ADA,EUR,2019-08-16 02:00:00,1565913600,0.042688,0.042154,6229612.66381344
ADAEUR,ADA/EUR,ADA,EUR,2019-08-17 02:00:00,1566000000,0.042311,0.042657,1960084.16708814
ADAEUR,ADA/EUR,ADA,EUR,2019-08-18 02:00:00,1566086400,0.042513,0.045695,5048646.95227099
ADAEUR,ADA/EUR,ADA,EUR,2019-08-19 02:00:00,1566172800,0.045674,0.04537,1814366.63545167
